dataset,seed,raw_auc_all,raw_auc_test,conformal_auc,n_cal,n_test,anomalies_in_C,anomalies_in_T,pi_test,fpr@0.01,tpr@0.01,flagged@0.01,theory_max_flagged@0.01,identity_gap@0.01,fpr@0.02,tpr@0.02,flagged@0.02,theory_max_flagged@0.02,identity_gap@0.02,fpr@0.05,tpr@0.05,flagged@0.05,theory_max_flagged@0.05,identity_gap@0.05,fpr@0.1,tpr@0.1,flagged@0.1,theory_max_flagged@0.1,identity_gap@0.1
citeseer,0,0.8022987235242774,0.7853780793447032,0.784950180328871,359,839,16,41,0.0488676996424314,0.0,0.024390243902439,0.00119189511323,0.0083333333333333,0.0,0.0,0.2926829268292683,0.0143027413587604,0.0194444444444444,1.734723475976807e-18,0.031328320802005,0.5121951219512195,0.0548271752085816,0.05,0.0,0.0852130325814536,0.5365853658536586,0.1072705601907032,0.1,0.0
citeseer,1,0.7964594855219677,0.7408333333333333,0.7406570512820513,359,839,14,39,0.0464839094159713,0.00125,0.1538461538461538,0.0083432657926102,0.0083333333333333,0.0,0.00375,0.3076923076923077,0.0178784266984505,0.0194444444444444,0.0,0.01875,0.3846153846153846,0.035756853396901,0.05,0.0,0.0825,0.4871794871794871,0.101311084624553,0.1,0.0
citeseer,2,0.7975248034212141,0.8327091136079899,0.8327419672777449,359,839,14,38,0.0452920143027413,0.0024968789013732,0.1578947368421052,0.0095351609058402,0.0083333333333333,0.0,0.0087390761548064,0.5263157894736842,0.0321811680572109,0.0194444444444444,0.0,0.0324594257178526,0.6052631578947368,0.0584028605482717,0.05,0.0,0.0948813982521847,0.6052631578947368,0.1179976162097735,0.1,1.3877787807814457e-17
citeseer,3,0.8243692898770024,0.800383264132865,0.8001836473969978,359,839,15,31,0.0369487485101311,0.0012376237623762,0.064516129032258,0.0035756853396901,0.0083333333333333,0.0,0.0024752475247524,0.2258064516129032,0.0107270560190703,0.0194444444444444,1.734723475976807e-18,0.0309405940594059,0.4516129032258064,0.0464839094159713,0.05,0.0,0.0853960396039604,0.4838709677419355,0.100119189511323,0.1,0.0
citeseer,4,0.8187034757187561,0.7845118898623279,0.7846996245306633,359,839,21,40,0.0476758045292014,0.0025031289111389,0.05,0.0047675804529201,0.0083333333333333,0.0,0.0037546933667083,0.225,0.0143027413587604,0.0194444444444444,0.0,0.0075093867334167,0.4,0.0262216924910607,0.05,0.0,0.0663329161451814,0.525,0.0882002383790226,0.1,1.3877787807814457e-17
cora,0,0.7855651998675706,0.7400582917551746,0.7397618930000494,292,684,13,31,0.0453216374269005,0.007656967840735,0.0,0.0073099415204678,0.0068259385665529,8.673617379884035e-19,0.010719754977029,0.0,0.0102339181286549,0.0170648464163822,0.0,0.0260336906584992,0.1935483870967742,0.033625730994152,0.0477815699658703,0.0,0.0872894333843797,0.4516129032258064,0.1038011695906432,0.098976109215017,1.3877787807814457e-17
cora,1,0.7707676584474098,0.8212221508669664,0.8211727510744454,292,684,15,31,0.0453216374269005,0.0,0.032258064516129,0.0014619883040935,0.0068259385665529,0.0,0.0122511485451761,0.1612903225806451,0.0190058479532163,0.0170648464163822,0.0,0.0321592649310872,0.4838709677419355,0.0526315789473684,0.0477815699658703,0.0,0.0918836140888208,0.5483870967741935,0.1125730994152046,0.098976109215017,1.3877787807814457e-17
cora,2,0.7826287227764103,0.8528506787330318,0.8531674208144797,292,684,12,34,0.0497076023391812,0.0061538461538461,0.1470588235294117,0.0131578947368421,0.0068259385665529,0.0,0.0107692307692307,0.1470588235294117,0.0175438596491228,0.0170648464163822,0.0,0.0569230769230769,0.6176470588235294,0.0847953216374269,0.0477815699658703,0.0,0.1215384615384615,0.6764705882352942,0.1491228070175438,0.098976109215017,2.775557561562892e-17
cora,3,0.7803256034892257,0.7896534148827726,0.7891437308868501,292,684,18,30,0.043859649122807,0.0137614678899082,0.1,0.0175438596491228,0.0068259385665529,0.0,0.0214067278287461,0.2666666666666666,0.0321637426900584,0.0170648464163822,0.0,0.0519877675840978,0.5,0.0716374269005847,0.0477815699658703,0.0,0.091743119266055,0.6,0.1140350877192982,0.098976109215017,1.3877787807814457e-17
cora,4,0.7609275812929135,0.6358179288411847,0.6357384217849334,292,684,8,39,0.0570175438596491,0.0077519379844961,0.0,0.0073099415204678,0.0068259385665529,8.673617379884035e-19,0.0108527131782945,0.0256410256410256,0.0116959064327485,0.0170648464163822,1.734723475976807e-18,0.0310077519379844,0.1025641025641025,0.0350877192982456,0.0477815699658703,0.0,0.0542635658914728,0.1794871794871795,0.0614035087719298,0.098976109215017,6.938893903907228e-18
flickr,0,0.6060711657488093,0.6185445616384843,0.6185808359841509,818,1909,45,99,0.0518596123624934,0.0138121546961325,0.0,0.0130958617077003,0.0097680097680097,1.734723475976807e-18,0.0226519337016574,0.0,0.0214772132006286,0.0195360195360195,3.469446951953614e-18,0.0475138121546961,0.0,0.0450497642744892,0.0488400488400488,0.0,0.1022099447513812,0.0,0.0969093766369827,0.0989010989010989,0.0
flickr,1,0.6618851329147287,0.6545424546551057,0.6546875355590451,818,1909,33,97,0.0508119434258774,0.0082781456953642,0.0,0.0078575170246202,0.0097680097680097,0.0,0.0231788079470198,0.0,0.0220010476689366,0.0195360195360195,3.469446951953614e-18,0.0507726269315673,0.0,0.0481927710843373,0.0488400488400488,0.0,0.0993377483443708,0.2268041237113402,0.1058145625982189,0.0989010989010989,1.3877787807814457e-17
flickr,2,0.6299571470476014,0.6180825467332963,0.6179591584921957,818,1909,42,108,0.0565741225772655,0.0088839533592448,0.0,0.0083813514929282,0.0097680097680097,0.0,0.0183231538034425,0.0,0.0172865374541644,0.0195360195360195,0.0,0.0477512493059411,0.0,0.0450497642744892,0.0488400488400488,0.0,0.0949472515269294,0.0,0.0895756940806705,0.0989010989010989,0.0
flickr,3,0.631677072972057,0.6541424867267565,0.6539325842696628,818,1909,45,89,0.0466212676794133,0.006043956043956,0.0,0.0057621791513881,0.0097680097680097,0.0,0.0126373626373626,0.0,0.0120481927710843,0.0195360195360195,0.0,0.0598901098901098,0.0,0.0570979570455736,0.0488400488400488,0.0,0.1137362637362637,0.0786516853932584,0.1121005762179151,0.0989010989010989,0.0
flickr,4,0.6456210075773783,0.64760841313701,0.6476651904563635,818,1909,48,87,0.0455735987427972,0.0131723380900109,0.0,0.0125720272393923,0.0097680097680097,1.734723475976807e-18,0.0257958287596048,0.0,0.0246202200104766,0.0195360195360195,3.469446951953614e-18,0.0609220636663007,0.0,0.0581456259821896,0.0488400488400488,0.0,0.1174533479692645,0.2413793103448276,0.1231011000523834,0.0989010989010989,0.0
pubmed,0,0.6811614208862165,0.6853364854215919,0.6853250591016549,2129,4970,96,270,0.0543259557344064,0.011063829787234,0.0481481481481481,0.0130784708249496,0.0098591549295774,0.0,0.0180851063829787,0.0925925925925925,0.0221327967806841,0.0197183098591549,0.0,0.036595744680851,0.4259259259259259,0.0577464788732394,0.0497652582159624,6.938893903907228e-18,0.0919148936170212,0.5370370370370371,0.1160965794768611,0.1,0.0
pubmed,1,0.8212938363299156,0.8154781804031483,0.8154670368121841,2129,4970,115,237,0.0476861167002012,0.0061271920557785,0.0253164556962025,0.0070422535211267,0.0098591549295774,0.0,0.0147897739277413,0.0548523206751054,0.0167002012072434,0.0197183098591549,3.469446951953614e-18,0.0473272765687724,0.1772151898734177,0.0535211267605633,0.0497652582159624,6.938893903907228e-18,0.0792309317557574,0.4641350210970464,0.0975855130784708,0.1,1.3877787807814457e-17
pubmed,2,0.7294607560991209,0.7240246225412548,0.724017404206685,2129,4970,107,265,0.0533199195171026,0.0076514346439957,0.1245283018867924,0.0138832997987927,0.0098591549295774,0.0,0.0091392136025504,0.2226415094339622,0.0205231388329979,0.0197183098591549,0.0,0.0346439957492029,0.5169811320754717,0.0603621730382293,0.0497652582159624,6.938893903907228e-18,0.0841657810839532,0.5320754716981132,0.1080482897384305,0.1,0.0
pubmed,3,0.7537782735046626,0.71798247194363,0.7179611044401673,2129,4970,116,253,0.0509054325955734,0.0105999576001696,0.0316205533596837,0.0116700201207243,0.0098591549295774,1.734723475976807e-18,0.0182319270722917,0.067193675889328,0.0207243460764587,0.0197183098591549,3.469446951953614e-18,0.0356158575365698,0.1660079051383399,0.0422535211267605,0.0497652582159624,0.0,0.0652957388170447,0.4782608695652174,0.086317907444668,0.1,1.3877787807814457e-17
pubmed,4,0.8379902574491817,0.8349820348018964,0.8350067612704053,2129,4970,111,262,0.0527162977867203,0.0040356839422259,0.0190839694656488,0.0048289738430583,0.0098591549295774,8.673617379884035e-19,0.0163551401869158,0.0687022900763358,0.0191146881287726,0.0197183098591549,3.469446951953614e-18,0.0409940526762956,0.1374045801526717,0.046076458752515,0.0497652582159624,0.0,0.08857264231096,0.4580152671755725,0.1080482897384305,0.1,0.0
