anomalies_in_C,anomaly_rate,backbone,conformal_auc,contamination_frac,dataset,degree_bin,flagged@0.05,fpr@0.05,method,n_cal,n_normals,n_test,raw_auc_all,runtime_s,seed,study,tpr@0.05
,,,0.7078496270315664,,cora,,0.054093567251461985,0.05053598774885146,CRC-GAD,,,,,,0,heuristics,0.12903225806451613
,,,nan,,cora,,0.049707602339181284,0.045941807044410414,Percentile,,,,,,0,heuristics,0.12903225806451613
,,,nan,,cora,,0.03654970760233918,0.010719754977029096,Feature-space CP,,,,,,0,heuristics,0.5806451612903226
,,,0.5135849429432396,,cora,,0.07017543859649122,0.06584992343032159,Uniform random + CP,,,,,,0,heuristics,0.16129032258064516
,,,0.6570666403201106,,cora,,0.03508771929824561,0.03522205206738132,CRC-GAD,,,,,,1,heuristics,0.03225806451612903
,,,nan,,cora,,0.049707602339181284,0.04747320061255743,Percentile,,,,,,1,heuristics,0.0967741935483871
,,,nan,,cora,,0.04093567251461988,0.019908116385911178,Feature-space CP,,,,,,1,heuristics,0.4838709677419355
,,,0.4702613249024354,,cora,,0.04239766081871345,0.04134762633996937,Uniform random + CP,,,,,,1,heuristics,0.06451612903225806
,,,0.7207692307692308,,cora,,0.06140350877192982,0.05384615384615385,CRC-GAD,,,,,,2,heuristics,0.20588235294117646
,,,nan,,cora,,0.049707602339181284,0.046153846153846156,Percentile,,,,,,2,heuristics,0.11764705882352941
,,,nan,,cora,,0.03508771929824561,0.018461538461538463,Feature-space CP,,,,,,2,heuristics,0.35294117647058826
,,,0.5091855203619908,,cora,,0.038011695906432746,0.04,Uniform random + CP,,,,,,2,heuristics,0.0
,,,0.6664118246687054,,cora,,0.054093567251461985,0.05045871559633028,CRC-GAD,,,,,,3,heuristics,0.13333333333333333
,,,nan,,cora,,0.049707602339181284,0.045871559633027525,Percentile,,,,,,3,heuristics,0.13333333333333333
,,,nan,,cora,,0.02046783625730994,0.0030581039755351682,Feature-space CP,,,,,,3,heuristics,0.4
,,,0.42734454638124364,,cora,,0.04532163742690058,0.045871559633027525,Uniform random + CP,,,,,,3,heuristics,0.03333333333333333
,,,0.6442258000397535,,cora,,0.049707602339181284,0.04961240310077519,CRC-GAD,,,,,,4,heuristics,0.05128205128205128
,,,nan,,cora,,0.049707602339181284,0.04961240310077519,Percentile,,,,,,4,heuristics,0.05128205128205128
,,,nan,,cora,,0.054093567251461985,0.013953488372093023,Feature-space CP,,,,,,4,heuristics,0.717948717948718
,,,0.45577419996024643,,cora,,0.08187134502923976,0.08062015503875969,Uniform random + CP,,,,,,4,heuristics,0.10256410256410256
,,,0.7541567332966563,,citeseer,,0.03098927294398093,0.02506265664160401,CRC-GAD,,,,,,0,heuristics,0.14634146341463414
,,,nan,,citeseer,,0.04886769964243146,0.041353383458646614,Percentile,,,,,,0,heuristics,0.1951219512195122
,,,nan,,citeseer,,0.06912991656734208,0.043859649122807015,Feature-space CP,,,,,,0,heuristics,0.5609756097560976
,,,0.5623815636652607,,citeseer,,0.04886769964243146,0.047619047619047616,Uniform random + CP,,,,,,0,heuristics,0.07317073170731707
,,,0.7028846153846153,,citeseer,,0.052443384982121574,0.04125,CRC-GAD,,,,,,1,heuristics,0.28205128205128205
,,,nan,,citeseer,,0.04886769964243146,0.03875,Percentile,,,,,,1,heuristics,0.2564102564102564
,,,nan,,citeseer,,0.05125148986889154,0.0225,Feature-space CP,,,,,,1,heuristics,0.6410256410256411
,,,0.5927884615384615,,citeseer,,0.05959475566150179,0.06,Uniform random + CP,,,,,,1,heuristics,0.05128205128205128
,,,0.7855805243445693,,citeseer,,0.06793802145411204,0.05368289637952559,CRC-GAD,,,,,,2,heuristics,0.3684210526315789
,,,nan,,citeseer,,0.04886769964243146,0.033707865168539325,Percentile,,,,,,2,heuristics,0.3684210526315789
,,,nan,,citeseer,,0.03814064362336114,0.019975031210986267,Feature-space CP,,,,,,2,heuristics,0.42105263157894735
,,,0.48473947039884346,,citeseer,,0.04290822407628129,0.03870162297128589,Uniform random + CP,,,,,,2,heuristics,0.13157894736842105
,,,0.7375239540083041,,citeseer,,0.03933253873659118,0.03217821782178218,CRC-GAD,,,,,,3,heuristics,0.22580645161290322
,,,nan,,citeseer,,0.04886769964243146,0.04084158415841584,Percentile,,,,,,3,heuristics,0.25806451612903225
,,,nan,,citeseer,,0.03098927294398093,0.009900990099009901,Feature-space CP,,,,,,3,heuristics,0.5806451612903226
,,,0.5000399233471734,,citeseer,,0.05125148986889154,0.050742574257425746,Uniform random + CP,,,,,,3,heuristics,0.06451612903225806
,,,0.7337140175219025,,citeseer,,0.041716328963051254,0.03754693366708386,CRC-GAD,,,,,,4,heuristics,0.125
,,,nan,,citeseer,,0.04886769964243146,0.04505632040050062,Percentile,,,,,,4,heuristics,0.125
,,,nan,,citeseer,,0.04529201430274136,0.016270337922403004,Feature-space CP,,,,,,4,heuristics,0.625
,,,0.5323842302878599,,citeseer,,0.03218116805721097,0.03128911138923655,Uniform random + CP,,,,,,4,heuristics,0.05
,,,0.7634353821907014,,pubmed,,0.04949698189134809,0.044893617021276595,CRC-GAD,,,,,,0,heuristics,0.12962962962962962
,,,nan,,pubmed,,0.049899396378269616,0.0451063829787234,Percentile,,,,,,0,heuristics,0.13333333333333333
,,,nan,,pubmed,,0.06579476861167002,0.039787234042553195,Feature-space CP,,,,,,0,heuristics,0.5185185185185185
,,,0.5046075650118202,,pubmed,,0.04607645875251509,0.045744680851063826,Uniform random + CP,,,,,,0,heuristics,0.05185185185185185
,,,0.7642029524275644,,pubmed,,0.04889336016096579,0.04267906190576801,CRC-GAD,,,,,,1,heuristics,0.1729957805907173
,,,nan,,pubmed,,0.049899396378269616,0.04373547432917811,Percentile,,,,,,1,heuristics,0.1729957805907173
,,,nan,,pubmed,,0.0454728370221328,0.021973378406930064,Feature-space CP,,,,,,1,heuristics,0.5147679324894515
,,,0.49183353079776526,,pubmed,,0.04225352112676056,0.04289034439045003,Uniform random + CP,,,,,,1,heuristics,0.029535864978902954
,,,0.7130302969542638,,pubmed,,0.04768611670020121,0.04017003188097768,CRC-GAD,,,,,,2,heuristics,0.1811320754716981
,,,nan,,pubmed,,0.049899396378269616,0.04208289054197662,Percentile,,,,,,2,heuristics,0.18867924528301888
,,,nan,,pubmed,,0.04768611670020121,0.021253985122210415,Feature-space CP,,,,,,2,heuristics,0.5169811320754717
,,,0.491337597497644,,pubmed,,0.04386317907444668,0.044633368756641874,Uniform random + CP,,,,,,2,heuristics,0.03018867924528302
,,,0.7428278508229842,,pubmed,,0.0454728370221328,0.03815984736061056,CRC-GAD,,,,,,3,heuristics,0.18181818181818182
,,,nan,,pubmed,,0.049899396378269616,0.042187831248675006,Percentile,,,,,,3,heuristics,0.19367588932806323
,,,nan,,pubmed,,0.05150905432595573,0.025227899088403647,Feature-space CP,,,,,,3,heuristics,0.541501976284585
,,,0.4989969842492171,,pubmed,,0.04748490945674044,0.048335806656773374,Uniform random + CP,,,,,,3,heuristics,0.03162055335968379
,,,0.678019223410534,,pubmed,,0.04104627766599597,0.03419711129991504,CRC-GAD,,,,,,4,heuristics,0.16412213740458015
,,,nan,,pubmed,,0.049899396378269616,0.04248088360237893,Percentile,,,,,,4,heuristics,0.183206106870229
,,,nan,,pubmed,,0.05211267605633803,0.026125743415463042,Feature-space CP,,,,,,4,heuristics,0.5190839694656488
,,,0.4924795054057735,,pubmed,,0.03963782696177062,0.04014443500424809,Uniform random + CP,,,,,,4,heuristics,0.030534351145038167
,,,,,cora,Q1_low,,0.0,,,252,,,,0,degree_fpr,
,,,,,cora,Q2,,0.02459016393442623,,,122,,,,0,degree_fpr,
,,,,,cora,Q3,,0.04819277108433735,,,166,,,,0,degree_fpr,
,,,,,cora,Q4_high,,0.19469026548672566,,,113,,,,0,degree_fpr,
,,,,,cora,Q1_low,,0.008,,,250,,,,1,degree_fpr,
,,,,,cora,Q2,,0.02631578947368421,,,152,,,,1,degree_fpr,
,,,,,cora,Q3,,0.041237113402061855,,,97,,,,1,degree_fpr,
,,,,,cora,Q4_high,,0.08441558441558442,,,154,,,,1,degree_fpr,
,,,,,cora,Q1_low,,0.012048192771084338,,,249,,,,2,degree_fpr,
,,,,,cora,Q2,,0.02040816326530612,,,147,,,,2,degree_fpr,
,,,,,cora,Q3,,0.07526881720430108,,,93,,,,2,degree_fpr,
,,,,,cora,Q4_high,,0.13664596273291926,,,161,,,,2,degree_fpr,
,,,,,cora,Q1_low,,0.012448132780082987,,,241,,,,3,degree_fpr,
,,,,,cora,Q2,,0.022727272727272728,,,132,,,,3,degree_fpr,
,,,,,cora,Q3,,0.03550295857988166,,,169,,,,3,degree_fpr,
,,,,,cora,Q4_high,,0.1875,,,112,,,,3,degree_fpr,
,,,,,cora,Q1_low,,0.0,,,256,,,,4,degree_fpr,
,,,,,cora,Q2,,0.05405405405405406,,,148,,,,4,degree_fpr,
,,,,,cora,Q3,,0.056179775280898875,,,89,,,,4,degree_fpr,
,,,,,cora,Q4_high,,0.125,,,152,,,,4,degree_fpr,
