anomaly_rate,backbone,conformal_auc,dataset,flagged@0.05,fpr@0.05,raw_auc_all,runtime_s,seed,study,tpr@0.05
0.0793507664562669,degree,0.5462940608401738,organic_citeseer,0.050059594755661505,0.047182175622542594,0.537309925899544,0.00022839999292045832,0,organic,0.07894736842105263
0.0793507664562669,cola,0.4624642332379553,organic_citeseer,0.03814064362336114,0.03756476683937824,0.4538294304454931,10.00748599995859,1,organic,0.04477611940298507
0.0793507664562669,dominant_style,0.49614298971463927,organic_citeseer,0.060786650774731825,0.06217616580310881,0.47141468554299115,21.294039999949746,1,organic,0.04477611940298507
0.0793507664562669,attr_deviation,0.48923130461681236,organic_citeseer,0.04767580452920143,0.050518134715025906,0.5061066096815362,0.46316100005060434,1,organic,0.014925373134328358
0.0793507664562669,degree,0.545510788028768,organic_citeseer,0.03933253873659118,0.038860103626943004,0.5567514023684444,0.0006671000737696886,1,organic,0.04477611940298507
0.0793507664562669,cola,0.41915652614805154,organic_citeseer,0.066746126340882,0.06779661016949153,0.45949702707783024,10.500218299916014,2,organic,0.05555555555555555
0.0793507664562669,dominant_style,0.3915688830943068,organic_citeseer,0.06436233611442194,0.0651890482398957,0.4543636660433918,18.51724459999241,2,organic,0.05555555555555555
0.0793507664562669,attr_deviation,0.4732362740837317,organic_citeseer,0.033373063170441,0.035202086049543675,0.5060645633613312,0.40223540004808456,2,organic,0.013888888888888888
0.0793507664562669,degree,0.5566782558307982,organic_citeseer,0.041716328963051254,0.041720990873533245,0.5515871249220906,0.0004819000605493784,2,organic,0.041666666666666664
0.0793507664562669,cola,0.4788747997409415,organic_citeseer,0.04290822407628129,0.04068241469816273,0.4706318819932924,10.450247399974614,3,organic,0.06493506493506493
0.0793507664562669,dominant_style,0.5023690220540613,organic_citeseer,0.04886769964243146,0.048556430446194225,0.46135695841866264,19.562362600001507,3,organic,0.05194805194805195
0.0793507664562669,attr_deviation,0.5435116065037324,organic_citeseer,0.03575685339690107,0.03412073490813648,0.5060423035447521,0.4732985000591725,3,organic,0.05194805194805195
0.0793507664562669,degree,0.5584671234277534,organic_citeseer,0.026221692491060787,0.023622047244094488,0.5490767122745575,0.00024850002955645323,3,organic,0.05194805194805195
0.0793507664562669,cola,0.4266043357246462,organic_citeseer,0.050059594755661505,0.050452781371280724,0.4401816895695446,10.12876300001517,4,organic,0.045454545454545456
0.0793507664562669,dominant_style,0.4525657611039241,organic_citeseer,0.07866507747318235,0.07503234152652005,0.4569124150417,21.263622600003146,4,organic,0.12121212121212122
0.0793507664562669,attr_deviation,0.471627660825591,organic_citeseer,0.04410011918951132,0.04398447606727038,0.5061375260934516,0.45223030005581677,4,organic,0.045454545454545456
0.0793507664562669,degree,0.5851856207613,organic_citeseer,0.027413587604290822,0.02328589909443726,0.5526828025603736,0.00027840002439916134,4,organic,0.07575757575757576
0.14529747138442792,degree,0.5393846345225948,yelpchi,0.0457646144547103,0.043345853212871786,0.5297126839146706,0.018405299982987344,0,organic,0.05953757225433526
0.14529747138442792,feature_norm,0.5373583738747805,yelpchi,0.047750626025386406,0.04557912902243427,0.5393699978389914,0.022145699942484498,0,organic,0.06011560693641618
0.14529747138442792,attr_deviation,0.5848782113608372,yelpchi,0.04636905275882912,0.041620140087300785,0.5870461100491428,0.42811159999109805,0,organic,0.07341040462427746
0.14529747138442792,degree,0.5341887257906259,yelpchi,0.04904585096278387,0.045997973657548125,0.5297156390815968,0.011368699953891337,1,organic,0.06662770309760374
0.14529747138442792,feature_norm,0.5475781595575917,yelpchi,0.047232536050427425,0.04518743667679838,0.5393700855407194,0.03604889998678118,1,organic,0.05902980713033314
0.14529747138442792,attr_deviation,0.5915655716008875,yelpchi,0.04749158103790692,0.041236068895643366,0.5870461100491428,0.4446705000009388,1,organic,0.08357685563997662
0.14529747138442792,degree,0.5387748608026824,yelpchi,0.04550556946723081,0.04137652639015037,0.5297111014704456,0.01578949997201562,2,organic,0.06997607655502393
0.14529747138442792,feature_norm,0.5242301836665811,yelpchi,0.04377860288403419,0.04349581188818246,0.5393700092783472,0.026585399988107383,2,organic,0.045454545454545456
0.14529747138442792,attr_deviation,0.5854280229997282,yelpchi,0.04921854762110353,0.044807750529821375,0.5870460833573125,0.46804760000668466,2,organic,0.07535885167464115
0.14529747138442792,degree,0.5271007500463047,yelpchi,0.050600120887660825,0.04598281960586155,0.5296902704034553,0.01354780001565814,3,organic,0.07769869513641756
0.14529747138442792,feature_norm,0.53815621558991,yelpchi,0.05301787410413609,0.050530570995452245,0.5393699558946865,0.033656800049357116,3,organic,0.06761565836298933
0.14529747138442792,attr_deviation,0.590428263073062,yelpchi,0.048355064329505225,0.043052046488125315,0.5870460604786008,0.47309129999484867,3,organic,0.07947805456702253
0.14529747138442792,degree,0.5371323994425963,yelpchi,0.0457646144547103,0.04313646442249546,0.5296988079760329,0.02013199997600168,4,organic,0.06148282097649186
0.14529747138442792,feature_norm,0.5353770865432714,yelpchi,0.04965028926690269,0.04767184035476718,0.5393701084194311,0.04409089998807758,4,organic,0.06148282097649186
0.14529747138442792,attr_deviation,0.5842436587054736,yelpchi,0.04921854762110353,0.04343882281798025,0.587046068104838,0.4390630000270903,4,organic,0.08378541289933696
